把无耻说的如此认真。,929089043,圣光萨拉丁,热寂灭丶熵º,山西
问题是真有那种逆天软饭男,830311028,静悄悄的煮鸡手,贴吧用户_0EeN7bX,四川
我都和你没有感情基础，就是俩陌生人遇到一起，aa已经是最合理的开销方式了，不讲aa 的意思是你要把钱还给我？,572237642,武藏唐,海纶娜,上海
你这种情况就是原神玩多了，这样吧，你先退回到桌面，然后长按原神图标，会出现“卸载”两个字样，你点一下将其卸载，电脑版则是打开控制面板，找到程序和功能，点进去，在里面找到原神将其卸载，操作完之后，过几天看看有没有效果,2029929670,古剑奇刷卡锦,无内鬼👻gkd,湖南
你这种情况就是原神玩多了，这样吧，你先退回到桌面，然后长按原神图标，会出现“卸载”两个字样，你点一下将其卸载，电脑版则是打开控制面板，找到程序和功能，点进去，在里面找到原神将其卸载，操作完之后，过几天看看有没有效果,2029929670,古剑奇刷卡锦,无内鬼👻gkd,湖南
加3,4150274423,青岛大黄瓜,青岛大黄瓜,山东
这话本质上是在歧视女性啊,6399371222,冬衣Fuyuu,冬衣Fuyuu,陕西
LL,4070159724,edavid888,edavid888,河南
"事实胜于雄辩，但雌辨胜于事实，脂肪压迫了声道，大脑连接了欢乐豆，一动脑就爽死了，银地链接大脑，高朝代替思考,摘蘑菇没洗手我看是扣出幻觉了，读的书叠起来没有音醇厚，下回发言之前把紫色心情调最大档插脑子里震震，也算是说话前动了脑了",4506747684,,欲望染指青春,陕西
确实不平等，男的又不能像捎饥一样有两片肉，在满足生理需求的同时大挣特挣,5954429700,_ssssi1,嗯♂,辽宁
为什么这些人这么嚣张？是因为真的有人舔,4402361788,ypzz289617,倒计时旅行🐷,江苏
3,1246305067,Eason55351,無条件丶,上海
讲真女的长得不是特别差，去当个浴足，助教之类的，随便一个月1w多，男的想去做都做不了，,2117979452,shineAsfdd,shineAsfdd,广东
你说她提供情绪价值，她大声赞同，你反过来说由男人提供经济价值，她又要呵斥你了,2020341081,作业君10086,爱吃牛肉伙瓜,江苏
不AA她自己付是吧，毕竟她自己强调的金钱上不能AA的。说句题外话，诡辩连逻辑都搞不清的xxn如图所示,3567813263,国库空了丶嘤,观象知微🍼,甘肃
唐小雨,4113460343,儒雅的1高先生,库克牢底,河北
我赚钱不行所以你得给我花钱,3309462,愤怒的落日,愤怒的落日,广东
痧避,4181400189,亚登法印,亚登法印,河北
长的够好看，也能接受。,4192061995,月玉琉璃,月玉琉璃,四川
婚后就要回归家庭啊，怕不是婚后直接靠下面赚钱了,2058606600,,贴吧用户_QD1RMSA,天津
请不要把智商上的不平等归咎于男女间的不平等,6337739648,,一个很不错的名字,广东
简简单单又可以蹭饭了,2999963184,Millasama,Milla さま,广东
其实aa的本质是通过经济消费的平等来维持或者表达人格的平等，一般是同辈朋友之间，社会地位或许会因为经济实力而变化但朋友之间没有高低贵贱之分。又或者现在我和朋友之间都是你请我一次我请你一次，也是类似的道理。,2779996446,中英文均12121,凝眸成冰,湖北
那她应该当个🐔，🐔没有成本，腿一分就有钱，好点的还有人请客买包，更厉害的一个人同时糊弄好几个,1052216258,星love一,梦醒了爱走了😈,山东
诡计多端的穷女人是这样的，又穷又懒还诡计多端刻在了她们的骨子里，从她们出生的那一刻开始就注定这群小仙女就是一群寄生虫寄居蟹吸血鬼，小仙女的嘴脸和她们的东非大裂谷一样丑陋,4741058381,,贴吧用户_aP4Pb8P,湖南
女生腿一劈钱就来了 还有啥劣势？？,3769385318,Rocky阿鑫,Rocky阿鑫,山东
那说得好 不恋爱 直接结婚，然后婚后aa完美,587287907,yangqi0408,草莓宝儿🌝,江苏
腿一张，人一躺，钞票大把来的是谁，我不说；砖一搬，货一拉，票子攒不来的又是谁，我也不说,4712381516,,贴吧用户_aU97Z7U,上海
3,2812774762,dgggfggghff,当代女性正义之拳,重庆
不A就用B,5482296388,,投影面展开,江苏
不是AA，那就只能CB了,5600321744,锁锁我的,芝士丁针雪豹,广西
头一次看见把张腿躺着的享受活说的这么理直气壮的,4064668066,小飒moty,总有僵尸替我爱“你”,山东
夜难寐，气抖冷，明明木人麦批一天挣就顶我一个礼拜，还说挣钱成本不一样,1972208701,258风影,莱伊是前辈！,甘肃
经济依附就不要讲人格独立,1083277170,超级姣姣女神,神ლ原纱🍭,江苏
女生出门哪个不是手机计算器,3061429611,SJJ040720,梦落芳华，无人拾,湖南
它发这些其实也挺好的，虽然祸害了一部分未成年女性的三观，但也为正常人互相交往结婚提供了便利，起码男生一看对面的女的张嘴就是要钱，闭嘴就是发瘟，就知道是个女⭕，就能早日解脱了（舔狗除外，舔狗跟女⭕过一辈子吧）,1433763172,玉藻前丿鸟羽,朝武丛雨▫,湖南
3,5514437992,,独行侠侠侠侠,黑龙江
3,5514437992,,独行侠侠侠侠,黑龙江
3,5514437992,,独行侠侠侠侠,黑龙江
3,5514437992,,独行侠侠侠侠,黑龙江
3,5514437992,,独行侠侠侠侠,黑龙江
根据结论脑补论据，脑残玩意,1269454447,天不欺我,啸如虎,河南
那你请我,6457180368,TskPro,千丝折纸莺_,山西
有能力的女人自然而然会获得别人的尊敬，没能力的女人只会在网上敲键盘想一步登天,1364866237,安静7路老K,混沌魔君索伦森,内蒙古
确实不该aa，女性还能吸男的血，所以应该女的多交钱,5487961386,南方的神奇,南方的神奇,河北
确实不平等 让我想起了一首诗,6569306109,打瞌睡的大白1,贴吧用户_J5EC4CD,广东
女生生来就是爱占便宜的人格，什么好处都想要一点,110150180,xxzz752,xxzz752,广东
解铃还须系铃人，只有女权能幻想男人,5418874546,为了和平呢,苦命人老路,北京
要么aa要么ab，没毛病吧，她也没说女的没出b,563019013,劳资94水刷石,新年喜洋洋🎁,浙江
6,6410185362,大聪明992,大聪明992,广东
哪有你快啊，两腿一张不就来了,1212712917,未欣赏的篇章TK,i追梦人💯,江苏
你凭什么侮辱女性收入低，看我不冲了他,4934276461,,当街放屁,海南
不出A就出B，AB都不想出就别在这发癫,533395280,a1020352667,a1020352667,天津
我劝大家尊重xxn把自己当做fj杯的观念,5982112469,,贴吧用户_GWACWMV,河南
竟然说女性不如男性，集美们还不冲,4564291232,,jinku,湖南
纯绕惨,3799493608,尤尼塔,尤尼塔,江苏
这逼每个帖子都是这德行,1980700278,Palapalamiao12,Palamiao,广东
毕竟两腿一张就能获得男性需要努力很久才能赚到的💰,3338127936,stay小黄,贴吧用户_55ZZWWS,广东
逆大天,5522464436,xggd55,xggd55,吉林
不能AA就CB。xxn总习惯用鲍鱼代替嘴唇说话，用糕潮代替思考，千斤示以肥美。波刚见了都得叫一声姐。,6100184598,吾名曰愚者,吾名曰愚者,湖北
确实不平等啊，女的腿一张就能获得很多钱你男的可以吗,365875436,蒋博文36,奥修特尔,江苏
小红书我没下载你让我怎么网暴,1189756119,暖冬111111111,😄吴签,陕西
男的女的都不会喜欢。因为自己要花钱。,2230435750,双色锦,渤海新气象,安徽
。,6374857301,,贴吧用户_GDC2JWV,江西
本来想冲她了，愣是找不到那个帖子,4773915685,杰西猫咖啡,蓝湖居士,广东
独立女性是这样的,2449303260,你会吃苦瓜吗,还得是太刀,上海
心里有数就行了，自爆的筛除，信得筛除，一个坏一个醇，这两种本来就不适合当伴侣，除非你想不开,1157992514,天幻叶,柒七夕暮,山东
好女人啊，她都知道双腿张开来钱比男同胞累死累活来得快，太贴心了,2485782597,似她z,梦见猫的鱼c😈,广西
我a你🐴了个酬宾,5761059885,,灌注永雏塔菲🐱,河北
逆天。。,2598491953,qwer隼5678,日啖芒果好多个,北京
靠近叫犯罪预备，远离叫欲盖弥彰。多看一眼叫男性凝视，少看一眼叫弔丝意淫。职位少收女人叫男权压制，高危重体力工作干不了称自己是天生公主。打不过男生那是天生力量差距，骂不过男生就嫌对方言语肮脏。自己拉帮结派、党同伐异，却不许他人群起而攻之。嘴里喊着独立自主、挣脱桎梏，行动上却依旧当着寄生虫。将建国后“劳动最光荣’和“妇女能顶半边天”两面大旗弃之不顾，把改革开放中蓬勃发展的生命力遗失殆尽，只剩下光滑透明的大脑和捋不清逻辑的嘴。这哪是什么伟大光荣的运动，分明就是极端利己主义思潮的反扑。真是横竖两张嘴，咋说咋有理，投怀送抱八方来财，理性逻辑拒之门外，成为小丑尚不满足，引发众怒玉玉跑路😤😤😤,5431974922,TheFrankOcean,Frank.Q,四川
最有逻辑的一集,2786980637,移动硬盘福苹果,伦敦大本钟,湖北
还真不平等，毕竟有的人两腿一张，烂肉两片就能躺着赚钱,6609303827,亦坑亦怂087,亦坑亦怂087,江苏
平等是别人争取来的，是让作为弱势的一方能享受相对平等的权利，能受到尊重，而不是觉得理所应当。,2442297186,啊布居gi顾,啊布居gi顾,海南
欠shuan了,4070120311,殇成灬依,北亭,湖北
壁垒是自己造成的捏，跟咱有什么关系,3463371563,凤君子君,春日野穹啊º,吉林
我也不能接受为啥有的女生能躺着把钱赚了而我不能,4041553111,我的猫叫莱恩,我的猫叫莱恩,新疆
"大一的时候喊几个同学第一次出去玩
吃个饭，我觉得大家不太熟先aa了。
因为之前我已经搞了好几张免费电影票。
其中有个xxm回去后就各种说我坏话。
可给我气坏了。",3468879860,真正的哈斯,满地夏😄,安徽
两片烂肉拿来喂猪都嫌脏，还有脸卖这么高的价，xxn在商业行为上跟鱿鱼相比，可以说是青出于蓝而胜于蓝了。,5990560921,十里芸苔映湖心,一般路过咲夜,江苏
平等是平权，不是赚取特权，如果弱势方有了特权，那她就不是弱势方了。一边想进一步获得更多特权，一边还要强调自己是弱势方，这种一般称为既想从事特殊行业，又想树立标志性建筑。,5889593529,齐格鲁德二号机,齐格鲁德二号机,山东
3,2074851241,,迷你世界原神玩家,湖北
我感觉男女朋友花钱主要还是情绪价值重大头。我认为应该多谈谈情绪价值,3712998297,大爱翼娘,贴吧用户_59XCM3K,河北
又当又立,5965156090,张小张343,别打了投吧,广东
支持支持！男女收入成本确实不等♀发点擦边图就可以恰大米了,6605825450,,破空寒冰砍😝,湖南
你自己不会赚钱把别人也说的跟你一样，那些想认真恋爱付出的被你说的一文不值，不会赚钱哪有钱来付出？你喜欢吃屎也要逼着别人喜欢呗？什么强盗逻辑！,248491358,249020340,249020340,云南
洋大人呢,3170837058,柱国臣子,柱国臣子,山东
任何坚持性别本身的性别主义最后都会走向它的反面,2804408619,lenitav,n_o,浙江
确实，让她包了吧,2036142566,无寂之恋,无寂之恋,安徽
3,6471803511,mowenyi111,mowenyi111,四川
利己主义者是这样的,3180093506,豆瓣now,太阳下山了,河北
3,5196613051,,陈白琳,山东
3,5196613051,,陈白琳,山东
3,5196613051,,陈白琳,山东
3,5196613051,,陈白琳,山东
3,5196613051,,陈白琳,山东
烂裤裆,3129959925,二汪l,迷茫的小白.,阿联酋
。,3529389049,就打算订机票的,贴吧用户_54G3UCK,江苏
